case_id,sample_id,source_segment_prefix,source_volume_url,source_level,online_validation,annotation_arrays,validation_mask_present,ink_render_count,distinct_render_volume_count,distinct_model_count,candidate_status
pherc1667-w013,PHerc1667,PHerc1667/segments/20240304141531-w013_20240304141531_flatboi,https://vesuvius-challenge-open-data.s3.amazonaws.com/PHerc1667/segments/20240304141531-w013_20240304141531_flatboi/surface-volumes/2.399um-0.22m-78keV-volume-20251217075048.zarr,2,False,inklabels;supervision_mask,False,2,2,2,candidate_dev_supervision_only
pherc1667-w018,PHerc1667,PHerc1667/segments/20240304144031-w018_20240304144031_flatboi,https://vesuvius-challenge-open-data.s3.amazonaws.com/PHerc1667/segments/20240304144031-w018_20240304144031_flatboi/surface-volumes/2.399um-0.22m-78keV-volume-20251217075048.zarr,2,False,inklabels;supervision_mask,False,2,2,2,candidate_dev_supervision_only
pherc1667-w023,PHerc1667,PHerc1667/segments/20240304161941-w023_20240304161941_flatboi,https://vesuvius-challenge-open-data.s3.amazonaws.com/PHerc1667/segments/20240304161941-w023_20240304161941_flatboi/surface-volumes/2.399um-0.22m-78keV-volume-20251217075048.zarr,2,False,inklabels;supervision_mask,False,2,2,2,candidate_dev_supervision_only
pherc1667-w028,PHerc1667,PHerc1667/segments/20251208130119-w028_20251208130119156_flatboi,https://vesuvius-challenge-open-data.s3.amazonaws.com/PHerc1667/segments/20251208130119-w028_20251208130119156_flatboi/surface-volumes/2.399um-0.22m-78keV-volume-20251217075048.zarr,2,False,inklabels;supervision_mask,False,2,2,2,candidate_dev_supervision_only
pherc1667-w029,PHerc1667,PHerc1667/segments/20251212185248-w029_20251212185248662_flatboi,https://vesuvius-challenge-open-data.s3.amazonaws.com/PHerc1667/segments/20251212185248-w029_20251212185248662_flatboi/surface-volumes/2.399um-0.22m-78keV-volume-20251217075048.zarr,2,True,inklabels;supervision_mask;validation_mask,True,2,2,2,candidate_validation_registration_support_unverified
pherc1667-w031,PHerc1667,PHerc1667/segments/20251223230000-w031_2025122323_flatboi,https://vesuvius-challenge-open-data.s3.amazonaws.com/PHerc1667/segments/20251223230000-w031_2025122323_flatboi/surface-volumes/2.399um-0.22m-78keV-volume-20251217075048.zarr,2,False,inklabels;supervision_mask,False,2,2,2,candidate_dev_supervision_only
phercparis4-w00,PHercParis4,PHercParis4/segments/20231016151002,https://vesuvius-challenge-open-data.s3.amazonaws.com/PHercParis4/segments/20231016151002/surface-volumes/2.4um-0.22m-78keV-volume-20260411134726.zarr,2,False,inklabels;supervision_mask,False,1,1,1,no_distinct_render_pair
phercparis4-w01,PHercParis4,PHercParis4/segments/20230702185753,https://vesuvius-challenge-open-data.s3.amazonaws.com/PHercParis4/segments/20230702185753/surface-volumes/2.4um-0.22m-78keV-volume-20260411134726.zarr,2,False,inklabels;supervision_mask,False,2,2,2,candidate_dev_supervision_only
phercparis4-w02,PHercParis4,PHercParis4/segments/20231031143852,https://vesuvius-challenge-open-data.s3.amazonaws.com/PHercParis4/segments/20231031143852/surface-volumes/2.4um-0.22m-78keV-volume-20260411134726.zarr,2,False,inklabels;supervision_mask,False,2,2,2,candidate_dev_supervision_only
phercparis4-w03,PHercParis4,PHercParis4/segments/20231106155351,https://vesuvius-challenge-open-data.s3.amazonaws.com/PHercParis4/segments/20231106155351/surface-volumes/2.4um-0.22m-78keV-volume-20260411134726.zarr,2,False,inklabels;supervision_mask,False,2,2,2,candidate_dev_supervision_only
phercparis4-w05,PHercParis4,PHercParis4/segments/20231012184424,https://vesuvius-challenge-open-data.s3.amazonaws.com/PHercParis4/segments/20231012184424/surface-volumes/2.4um-0.22m-78keV-volume-20260411134726.zarr,2,False,inklabels;supervision_mask,False,2,2,2,candidate_dev_supervision_only
phercparis4-w06,PHercParis4,PHercParis4/segments/20231210121321,https://vesuvius-challenge-open-data.s3.amazonaws.com/PHercParis4/segments/20231210121321/surface-volumes/2.4um-0.22m-78keV-volume-20260411134726.zarr,2,False,inklabels;supervision_mask,False,2,2,2,candidate_dev_supervision_only
phercparis4-w07,PHercParis4,PHercParis4/segments/20231007101619,https://vesuvius-challenge-open-data.s3.amazonaws.com/PHercParis4/segments/20231007101619/surface-volumes/2.4um-0.22m-78keV-volume-20260411134726.zarr,2,False,inklabels;supervision_mask,False,2,2,2,candidate_dev_supervision_only
phercparis4-w09,PHercParis4,PHercParis4/segments/20230929220926,https://vesuvius-challenge-open-data.s3.amazonaws.com/PHercParis4/segments/20230929220926/surface-volumes/2.4um-0.22m-78keV-volume-20260411134726.zarr,2,False,inklabels;supervision_mask,False,1,1,1,no_distinct_render_pair
